x,y,z
625.878181242314,354.5224015164729,c
612.3681756182763,324.6475399198704,c
608.5792364366549,361.9631174521859,c
603.8238164217488,379.04141863693724,c
583.0934317272715,361.1273195691947,c
619.6814497785042,391.9341476714701,c
654.352817157158,381.1756582702699,c
607.7914754072582,376.00869718110243,c
649.9759208238834,367.88534262823407,c
610.2871320622422,375.929778839989,c
615.0617311225091,428.8233073257048,c
616.9163321236985,404.63485390073015,c
640.4492618203868,376.791664535001,c
613.7475528768749,380.36498050956163,c
612.2825364239048,377.1802807979183,c
637.5177547374751,449.73173142558534,c
652.2113574639499,432.095046525048,c
694.3760871508147,426.15309313019975,c
659.4840007446097,395.1202811595151,c
638.638065548631,446.5826809048647,c
683.6026015468155,419.66804746195436,c
659.046256047917,370.416045347739,c
620.4426513900205,390.5210816938582,c
644.3363900098725,357.16306131801787,c
628.1722120409154,373.03628205850015,c
588.1297405978344,423.842924678263,c
613.1443048891894,373.20754832222826,c
652.6333275120841,398.0230105334332,c
670.4133084955452,354.0742934879696,c
618.6627856831091,389.79720404960926,c
608.6973739172136,329.53674718745765,c
654.1838019025745,416.88980135040276,c
655.0594607365583,340.4827390624805,c
660.5099825418054,370.62798091191905,c
668.6535054594149,369.19210411741767,c
665.7474401348903,351.15015270042005,c
640.5987732841264,363.9877621572251,c
422.6427632528812,478.389361753729,d
416.1300614976219,463.76107896180787,d
405.1550334164133,507.9507040449592,d
383.19718143408267,474.19409671410824,d
345.35399048316197,514.2197485508237,d
431.93910726379147,508.9275037617729,d
386.7850482931339,483.81574519643596,d
369.1041893034149,458.90034972878885,d
370.9270977781086,447.64799761616626,d
389.69474538939807,455.1522004592042,d
368.2374039568125,468.83984282431584,d
375.4050055953159,483.66114589365907,d
425.07695983359565,422.36863548420087,d
394.8630995235286,451.1602811627647,d
438.7957951042027,452.32927187030964,d
477.5940462916614,476.6871649700646,d
510.12000091704505,457.41824028107527,d
574.1517953816766,473.3361743789658,d
545.315709207581,486.9926853469686,d
624.0225409437983,455.2505138168345,d
573.1365110568047,511.84846465066056,d
626.7269768316804,488.57523882649997,d
569.9114359232382,462.55176856233834,d
598.5920878296764,488.3968024284503,d
590.3863063165549,495.1869960206427,d
531.7699374131114,447.4579163171176,d
577.414077979751,500.06747414301816,d
532.5945682683008,469.7002512282585,d
557.1903874516457,498.9054026860993,d
553.5124354175481,516.4786413266764,d
485.7487091491339,533.5446456284448,d
490.5359647757583,470.8763569765171,d
461.83279999236527,491.43691095423884,d
447.54620669964095,479.2270377890653,d
449.5108839025048,465.539897467307,d
385.8361520945235,485.7289943719719,d
450.9314474880805,439.3068421131791,d
383.6835256421044,451.3631644450968,d
378.9155938037633,463.9515611339011,d
355.5053120164711,459.75988043432255,d
378.58445547368905,439.8491644521327,d
350.7763368924737,468.8604125383698,d
395.3865797751429,482.9001012890783,d
385.28540921040866,460.7073607151988,d
371.10496258379976,476.402196313602,d
377.0716153813213,471.90999815789206,d
345.93271340896507,464.71630266077165,d
419.68075906137983,482.24919379325047,d
368.99226419847673,463.0659129760742,d
408.38397155891994,475.8448695457904,d
432.08120591239117,449.1963428483131,d
452.90607874683326,490.6460307364387,d
467.6405186889898,492.19670388622563,d
529.4180101319971,509.0921330819743,d
471.48451500279657,472.5960255532166,d
480.8448745288058,445.59539401217734,d
507.0436216632483,500.92939188783186,d
448.0935216887933,492.4499686633491,d
478.71739938071505,523.3513426158246,d
450.26217904076776,517.844558063833,d
